N,mean_W2_sq,stderr
25,0.0017820970776929689,0.00017934787084682705
50,0.0009797331687267823,0.00010250237148297206
100,0.00045868000210355815,3.290910220232826e-05
200,0.00028153093715744675,2.4578647614137316e-05
400,0.00013887448786729654,1.5225765085563536e-05
800,8.712271138943199e-05,8.995254320904855e-06
1600,4.252763606717898e-05,4.066099545910261e-06
3200,1.7433824264165224e-05,1.0956327642258033e-06
