n_steps,dt,mean_sq_error,stderr
8,0.125,0.001786898952958943,0.0001685266799755663
16,0.0625,0.00042003770102603004,4.8807398612094235e-05
32,0.03125,6.970205256549089e-05,7.5813244158824625e-06
64,0.015625,1.9701228242413928e-05,1.5541403554723153e-06
