parameter,S_first,S_total
kappa,0.025164720296639298,0.03192014741271075
lambda,0.2637829133266,0.2795812634167416
sigma,0.17180296844049203,0.1575708444429318
sigma0,0.5503034363941797,0.5433762220530836
