dt,k,n_steps,mean_error,std_error,estimated_rate
0.03125,5,32,0.005039158237829733,7.963027739542696e-05,1.101628306508498
0.015625,6,64,0.0024317804213329916,3.6936908414123736e-05,1.101628306508498
0.0078125,7,128,0.0011465948997387942,2.406540662434043e-05,1.101628306508498
0.00390625,8,256,0.0005079085990955869,1.0824839125629887e-05,1.101628306508498
