t,xbar_true,observation,filtered_mean,filtered_std,crowding_c_t
0.0,-0.03898629905666597,-0.02677482372307797,-0.020429411628230955,0.6991322822116064,0.006345412094847014
0.005,-0.034634033161206106,-0.0011310842915034508,-0.0011767357647490067,0.050986683669463594,4.5651473245555876e-05
0.01,-0.03471294842671508,-0.06329291874216618,-0.035320858669788374,0.03712601663128205,0.027972060072377805
0.015,-0.017422748624678266,-0.061245500454046906,-0.03600413741869308,0.03777112234222793,0.025241363035353827
0.02,-0.021553681497098964,-0.11646761076634894,-0.06890605833847323,0.035319100432845106,0.047561552427875714
0.025,-0.01915933965030598,0.026587676098545246,-0.03015467078958344,0.03024726925870378,0.05674234688812868
0.03,-0.01532748550636228,-0.014552552791570361,-0.02454794132267738,0.026953811230793184,0.00999538853110702
0.035,-0.009474954263100447,-1.7818349961631896e-05,-0.018611782409470444,0.02794166596417401,0.018593964059508812
0.04,0.00046308426971917527,-0.03512921788613347,-0.031524693318192826,0.028929506823323917,0.0036045245679406437
0.045,-0.014298056771573486,0.04075004345214012,0.0012977084002580327,0.030161958488448475,0.03945233505188209
0.05,-0.012822467080886031,0.029008347386819455,-0.0016450906014128482,0.030710323712433863,0.030653437988232304
0.055,0.010656239982883198,0.005317393869761567,-0.011737902377021037,0.03128518220382644,0.017055296246782606
0.06,0.0023016593681101866,-0.021770323453293935,-0.02473284341707198,0.03223443809492499,0.0029625199637780437
0.065,0.011721365883745522,-0.0035427385806091494,-0.01381069631740571,0.03213984184703454,0.01026795773679656
0.07,0.03859948413102161,0.004826983417591614,-0.008988599618081504,0.03170835717754294,0.013815583035673118
0.075,0.07135100576259142,0.07246110993361093,0.030847341650129822,0.03133734693668216,0.04161376828348111
0.08,0.10084430667116112,0.07539820846886762,0.04915345453892506,0.026069459748125995,0.026244753929942563
0.085,0.108378784429641,0.13227570346334358,0.07668179838894695,0.026057871823017737,0.05559390507439663
0.09,0.1239802237482514,0.10948207473764518,0.08863847291302815,0.023581557279611715,0.02084360182461703
