episode,theta_A,theta_B,phi_A,phi_B,critic_lr_scale,episode_cost,terminal_mean,terminal_var
0,0.5026459316227342,0.0003284401815711504,0.49999930289772654,4.653312755962356e-08,1.0,0.23817705707523976,0.12020662160428941,0.09072004465581582
1,0.5060239680052048,0.0008268229391892881,0.4999984904778943,7.4504412091987e-08,1.0,0.2932583002233749,0.2550727781077403,0.11163815507433293
2,0.5088839705365549,0.0013670704153916876,0.4999982251247448,1.3631690039299705e-07,1.0,0.25148875386276565,-0.16946190698856378,0.07925080272603965
3,0.5122411237491729,0.001503494026281386,0.4999982613337268,8.861043374612872e-08,1.0,0.3050315986667941,-0.06969287665160903,0.10603032397418842
4,0.5181853169376446,0.002117590991685096,0.49999905481636336,1.4835801646148442e-07,1.0,0.33847475715536246,-0.06692938197724224,0.11414250649849425
5,0.5218564229279251,0.002090158110948735,0.5000005449462389,9.959365084758769e-08,1.0,0.2782409896457596,-0.029979148655782054,0.10553271014224688
6,0.5253733319242531,0.0023274105634511124,0.5000020825612597,1.2131055912516395e-07,1.0,0.2843697565815163,0.10508365824166338,0.11568471723190299
7,0.5288423802266298,0.0025274268733180122,0.5000048537465309,2.2010144353430686e-07,1.0073963959490913,0.2782056628745837,-0.0961974369363924,0.10296161377274629
8,0.5345077404148535,0.004241854338490874,0.5000078702212234,7.60429010551173e-07,1.0073963959490913,0.3528621948059923,-0.4019117369299927,0.10205435691375328
9,0.5390776844036703,0.005719739526617414,0.5000135322799143,2.262984007878303e-06,1.0073963959490913,0.32592820569646197,-0.3712999137444131,0.09124855020194414
10,0.5431803806063097,0.005752741825277016,0.500017200582049,2.281815071747921e-06,1.0073963959490913,0.3026680209486142,-0.04382054832150196,0.1142157945328498
11,0.546089663252178,0.005827319955300255,0.5000223819122771,2.3878811694734476e-06,1.0034093877837786,0.25565056861976515,-0.08999726532761052,0.10342973487855794
12,0.5491105974188983,0.005748392125572165,0.5000264730786489,2.3529526813370475e-06,1.0034093877837786,0.28277435576626697,-0.014490828475448596,0.1019557371710809
13,0.552923508651696,0.005649214004188568,0.5000337712342453,2.301708593150289e-06,1.0034093877837786,0.3040724068705757,0.033159427392006516,0.12383825190540207
14,0.5562180997571495,0.005713089860935889,0.5000387651676141,2.3401635696968925e-06,1.0034093877837786,0.29122374259394634,0.11899311108659044,0.11746880921748941
